Type, Score, NormScore
1,0.3540976,1.4248942
-1,-0.125311,0.8822225
1,0.5442628,1.7233375
1,0.6808067,1.9754707
-1,-0.7076973,0.4927776
1,0.3415358,1.407107
1,0.3355967,1.3987748
1,0.8807317,2.4126644
1,0.2711034,1.3114107
-1,-0.3218753,0.7247886
-1,-0.5741808,0.563166
-1,-0.7701988,0.462921
-1,-0.8009361,0.4489085
1,0.0553579,1.0569188
-1,-0.648922,0.5226088
1,0.0164462,1.0165822
-1,-0.1025589,0.902525
-1,-0.9221759,0.3976528
-1,-0.9487593,0.3872212
-1,-0.8353515,0.433722
1,0.5770702,1.7808134
1,0.1426779,1.1533582
-1,-0.8172609,0.4416397
-1,-0.5308801,0.5880872
-1,-0.5024241,0.6050621
-1,-0.7110677,0.4911195
1,0.1750004,1.1912467
-1,-0.8332467,0.4346359
-1,-0.4519132,0.6364094
1,0.0659051,1.0681253
-1,-0.4789462,0.6194358
-1,-0.9341497,0.3929198
-1,-0.4007547,0.6698143
-1,-0.6588278,0.5174575
-1,-0.0181992,0.9819654
-1,-0.268997,0.7641455
-1,-0.6911253,0.501012
-1,-0.2692748,0.7639333
-1,-0.9859244,0.3730942
1,0.9113156,2.4875931
-1,-0.6490173,0.522559
1,0.4189111,1.5203052
-1,-0.3012467,0.7398952
-1,-0.3528326,0.7026948
1,0.0624842,1.0644776
-1,-0.398243,0.6714988
-1,-0.981695,0.3746755
1,0.090829,1.0950817
1,0.1308297,1.1397737
-1,-0.3584272,0.6987745
-1,-0.9545771,0.3849749
-1,-0.2028276,0.816419
-1,-0.3524009,0.7029982
1,0.5998005,1.8217553
1,0.6612842,1.9372786
-1,-0.0834321,0.9199535
-1,-0.2470174,0.7811271
1,0.0237843,1.0240694
1,0.2353412,1.2653404
1,0.8705773,2.3882892
-1,-0.6797947,0.506721
-1,-0.1718011,0.8421467
-1,-0.015273,0.984843
-1,-0.6906153,0.5012675
-1,-0.6457508,0.5242688
-1,-0.7328973,0.4805148
1,0.0512565,1.0525928
-1,-0.1903763,0.826648
-1,-0.3138604,0.730621
1,0.7085476,2.0310392
-1,-0.1884639,0.8282304
-1,-0.4521905,0.636233
1,0.6328964,1.8830568
1,0.4872589,1.627848
1,0.5783332,1.7830639
1,0.020655,1.0208698
-1,-0.9155119,0.4003117
-1,-0.2663904,0.76614
1,0.4437013,1.5584649
1,0.9508183,2.5878264
1,0.3723809,1.4511856
-1,-0.1482165,0.8622444
-1,-0.3643501,0.694648
-1,-0.9634498,0.3815743
1,0.6489634,1.9135562
-1,-0.550238,0.5768125
1,0.6750273,1.9640866
-1,-0.5628183,0.5696015
1,0.5028351,1.6534022
1,0.4379586,1.5495408
1,0.5743291,1.7759386
1,0.7205682,2.0556009
1,0.684838,1.9834505
-1,-0.9837752,0.3738969
1,0.5107173,1.6664861
1,0.8559746,2.3536671
1,0.8866645,2.4270208
-1,-0.981623,0.3747025
1,0.9336981,2.5438994
1,0.7344013,2.0842338
-1,-0.4610125,0.6306448
-1,-0.3052295,0.7369542
-1,-0.6434089,0.525498
1,0.3354194,1.3985268
1,0.0616154,1.0635532
1,0.2890522,1.3351614
1,0.1306855,1.1396093
-1,-0.8056443,0.4468
1,0.0351635,1.035789
-1,-0.9871425,0.37264
-1,-0.3193769,0.7266016
1,0.1792186,1.1962822
-1,-0.8992781,0.4068633
-1,-0.341972,0.7103681
1,0.8944898,2.4460875
-1,-0.3010512,0.7400399
-1,-0.8656916,0.4207605
1,0.6331601,1.8835534
1,0.5330475,1.7041177
1,0.5155839,1.674616
-1,-0.9741306,0.3775204
-1,-0.6527518,0.5206112
-1,-0.006986,0.9930383
1,0.2993069,1.3489235
-1,-0.5117826,0.5994261
1,0.0899903,1.0941637
-1,-0.9679653,0.3798551
-1,-0.7942764,0.4519081
-1,-0.461327,0.6304465
-1,-0.1555423,0.8559509
-1,-0.1229872,0.884275
1,0.29076,1.3374436
1,0.6831057,1.9800175
-1,-0.7769938,0.4597861
1,0.1163442,1.1233825
1,0.1392226,1.1493799
1,0.1348264,1.1443381
-1,-0.4072047,0.6655079
1,0.6161797,1.8518399
1,0.2145132,1.2392585
-1,-0.2708802,0.7627079
1,0.4430747,1.5574887
1,0.6578116,1.9305629
1,0.497778,1.6450619
-1,-0.8913974,0.4100823
-1,-0.8511601,0.4269194
1,0.4626297,1.5882451
-1,-0.8568603,0.4244928
1,0.2972909,1.3462069
1,0.0072848,1.0073114
1,0.1972074,1.2179966
-1,-0.5842004,0.5575515
-1,-0.3801385,0.6837667
1,0.9132306,2.4923614
1,0.9363566,2.5506714
1,0.7911758,2.2059887
-1,-0.8550852,0.425247
1,0.7808326,2.1832893
1,0.3422041,1.4080477
-1,-0.2985407,0.7419001
-1,-0.8679789,0.4197991
-1,-0.1279366,0.8799092
-1,-0.7555474,0.4697534
1,0.040864,1.0417104
-1,-0.9196236,0.3986691
1,0.7360998,2.0877769
1,0.5413708,1.7183608
-1,-0.2951009,0.7444565
1,0.9664832,2.6286836
1,0.8028444,2.2318803
1,0.0483754,1.0495646
1,0.4206242,1.5229119
-1,-0.3733904,0.6883964
1,0.0516556,1.053013
1,0.7394463,2.0947753
-1,-0.633583,0.5306869
-1,-0.0254892,0.9748329
-1,-0.3563232,0.7002463
1,0.5607533,1.7519918
1,0.9338702,2.5443372
1,0.5850513,1.7950831
1,0.9844356,2.676301
1,0.9887823,2.6879594
1,0.1056875,1.1114745
-1,-0.6641503,0.5147107
-1,-0.9432005,0.3893796
1,0.3718242,1.450378
1,0.8694404,2.3855755
1,0.7414603,2.0989984
1,0.2763299,1.3182827
-1,-0.9085796,0.4030964
-1,-0.6752796,0.5090141
1,0.643988,1.9040591
1,0.2507762,1.2850225
-1,-0.3594617,0.698052
1,0.5974892,1.8175496
-1,-0.7914281,0.4531971
1,0.5121147,1.6688165
1,0.346212,1.4137023
1,0.6184233,1.8559994
-1,-0.0817436,0.9215082
1,0.0797525,1.083019
-1,-0.6533753,0.5202867
-1,-0.4174587,0.6587187
-1,-0.7366942,0.4786938
1,0.8899156,2.4349241
-1,-0.3423581,0.7100939
-1,-0.3060178,0.7363735
-1,-0.7293421,0.4822261
-1,-0.8677952,0.4198763
1,0.0748139,1.0776836
1,0.762114,2.1428013
-1,-0.675664,0.5088185
-1,-0.9230225,0.3973163
-1,-0.130001,0.8780946
1,0.7990082,2.2233347
-1,-0.3976936,0.6718679
-1,-0.5631232,0.5694278
-1,-0.2947878,0.7446896
-1,-0.1468812,0.8633965
1,0.2336664,1.263223
-1,-0.7374296,0.4783419
1,0.5683286,1.765314
1,0.0280528,1.02845
1,0.663829,1.9422149
-1,-0.4521194,0.6362782
-1,-0.3479131,0.7061602
-1,-0.6993917,0.4968875
1,0.4998207,1.6484257
-1,-0.3689723,0.6914446
1,0.9831889,2.6729665
1,0.7821193,2.1861004
-1,-0.1964384,0.8216519
1,0.1232193,1.1311325
1,0.1009851,1.1062602
1,0.4222019,1.5253165
1,0.4276621,1.5336678
-1,-0.1790753,0.8360429
1,0.1967158,1.217398
1,0.6699206,1.9540822
1,0.7712834,2.1625399
-1,-0.7958063,0.4512173
1,0.9400761,2.5601762
-1,-0.056532,0.9450362
1,0.5793634,1.7849018
1,0.7195486,2.053506
-1,-0.1619154,0.8505132
-1,-0.3108053,0.7328565
1,0.4058054,1.5005105
-1,-0.4333676,0.6483221
1,0.5593936,1.7496112
1,0.6680114,1.950355
1,0.9926368,2.6983401
1,0.4357524,1.5461259
-1,-0.6444764,0.5249373
-1,-0.9803152,0.3751928
-1,-0.7479587,0.4733318
1,0.555716,1.7431887
1,0.6267982,1.8716085
1,0.8901465,2.4354864
-1,-0.1312732,0.8769782
-1,-0.1400569,0.8693088
-1,-0.2135132,0.8077415
-1,-0.4966233,0.6085822
-1,-0.3640342,0.6948674
1,0.7865117,2.1957237
-1,-0.4291464,0.6510646
1,0.1489501,1.1606151
1,0.5973877,1.8173651
-1,-0.0963923,0.9081077
-1,-0.4366057,0.6462262
1,0.2626231,1.3003365
-1,-0.5606225,0.5708536
-1,-0.4263008,0.6529199
1,0.3731411,1.4522892
1,0.0951962,1.0998746
-1,-0.4838215,0.6164232
1,0.7698411,2.1594231
1,0.8210259,2.2728303
-1,-0.4888959,0.6133032
1,0.578261,1.7829352
-1,-0.5583126,0.5721737
1,0.5448974,1.7244314
1,0.51974,1.6815904
-1,-0.9256435,0.3962763
1,0.3146441,1.3697717
-1,-0.8166621,0.4419042
-1,-0.2032367,0.8160851
1,0.1076854,1.1136973
1,0.2438194,1.2761138
1,0.7003765,2.014511
1,0.6374713,1.8916913
1,0.1921713,1.2118781
-1,-0.896003,0.408198
-1,-0.3772679,0.6857323
-1,-0.3870211,0.6790768
1,0.3303562,1.3914637
-1,-0.2340005,0.7913614
1,0.4341094,1.5435877
-1,-0.8240732,0.4386413
-1,-0.807284,0.4460679
1,0.0204983,1.0207098
1,0.2302822,1.2589552
1,0.1555824,1.1683382
-1,-0.7054571,0.4938828
1,0.9441458,2.5706166
1,0.1429768,1.153703
-1,-0.8543892,0.425543
1,0.8318585,2.2975848
-1,-0.9877409,0.3724171
-1,-0.2866232,0.7507946
-1,-0.9017053,0.4058769
1,0.023857,1.0241439
1,0.9600167,2.6117401
-1,-0.5694553,0.5658336
1,0.1709689,1.1864538
-1,-0.3364398,0.7143089
1,0.0748735,1.0777478
1,0.9437761,2.5696664
-1,-0.312915,0.7313121
1,0.7850161,2.1924422
1,0.6836309,1.9810577
-1,-0.8809165,0.4144029
1,0.7068497,2.0275937
-1,-0.0250065,0.9753036
1,0.6218527,1.8623753
1,0.3450031,1.4119943
1,0.4424512,1.5565179
-1,-0.3756467,0.686845
1,0.0475136,1.0486605
-1,-0.8754029,0.4166941
1,0.9953002,2.7055364
-1,-0.0841529,0.9192907
1,0.0147672,1.0148768
1,0.270098,1.3100928
-1,-0.1582359,0.8536484
-1,-0.2514933,0.7776387
1,0.8219525,2.2749373
1,0.2248894,1.2521842
1,0.0076671,1.0076966
1,0.5199583,1.6819575
-1,-0.5836584,0.5578538
1,0.3157735,1.3713196
1,0.9370336,2.5523987
1,0.0421217,1.0430214
1,0.2071984,1.2302266
-1,-0.6405631,0.5269956
1,0.6136926,1.8472399
1,0.4618473,1.5870029
-1,-0.4791739,0.6192948
1,0.8844954,2.4217621
-1,-0.0833058,0.9200697
1,0.1845942,1.2027303
1,0.8448787,2.3276954
1,0.3771176,1.4580758
1,0.8620461,2.3680009
-1,-0.0083624,0.9916725
-1,-0.026086,0.9742513
-1,-0.3651466,0.6940949
-1,-0.1936942,0.8239098
1,0.0273458,1.0277231
1,0.3277734,1.3878744
-1,-0.0956754,0.908759
1,0.0695858,1.072064
1,0.6157182,1.8509855
1,0.0881051,1.0921029
-1,-0.9009637,0.406178
-1,-0.246256,0.7817221
1,0.4193183,1.5209244
-1,-0.605706,0.545689
1,0.4193186,1.5209248
1,0.8199772,2.2704481
1,0.4432229,1.5577195
1,0.0556823,1.0572617
1,0.9787741,2.6611919
1,0.8046788,2.2359782
-1,-0.8962501,0.4080971
1,0.0007514,1.0007517
1,0.767777,2.1549704
1,0.3273651,1.3873079
1,0.5070262,1.6603463
-1,-0.5054944,0.6032073
-1,-0.1340899,0.8745114
1,0.8378538,2.3114009
-1,-0.5351971,0.5855539
-1,-0.1279844,0.8798671
1,0.0364478,1.0371202
1,0.2207456,1.2470062
-1,-0.4542818,0.6349038
1,0.6997261,2.0132012
1,0.2590246,1.2956657
-1,-0.6049578,0.5460975
1,0.4090872,1.505443
-1,-0.1303843,0.877758
-1,-0.4016241,0.6692323
1,0.8012972,2.2284298
1,0.6829806,1.9797698
-1,-0.843988,0.4299923
-1,-0.1853159,0.8308418
-1,-0.686696,0.503236
1,0.814108,2.2571614
-1,-0.026583,0.9737672
1,0.5799672,1.7859798
1,0.6474361,1.9106359
1,0.2744429,1.3157974
1,0.9385423,2.5562525
-1,-0.3916235,0.6759586
1,0.0201665,1.0203712
-1,-0.5310389,0.5879938
1,0.4583522,1.5814659
-1,-0.2411823,0.7856984
-1,-0.3006344,0.7403484
1,0.2694691,1.3092692
1,0.4856731,1.6252686
1,0.6782227,1.9703727
1,0.393485,1.4821371
1,0.5082623,1.6623999
1,0.5135547,1.6712213
1,0.1036998,1.1092674
1,0.845973,2.330244
-1,-0.7144922,0.4894406
-1,-0.7356539,0.479192
-1,-0.7193725,0.4870578
1,0.3740708,1.4536401
-1,-0.336216,0.7144688
-1,-0.0434129,0.957516
1,0.213142,1.2375604
1,0.7404216,2.0968193
-1,-0.5823922,0.5585606
-1,-0.5229243,0.5927845
-1,-0.8835314,0.4133207
-1,-0.3567646,0.6999372
-1,-0.3664584,0.693185
-1,-0.8660498,0.4206098
1,0.6919841,1.9976752
1,0.3979657,1.488793
1,0.0443086,1.0453049
1,0.8091831,2.2460724
-1,-0.8661564,0.4205649
1,0.3384631,1.40279
-1,-0.7528869,0.4710048
1,0.4560402,1.5778138
1,0.9181834,2.5047362
1,0.756066,2.1298808
1,0.9849115,2.6775749
1,0.5836941,1.7926484
-1,-0.9416821,0.3899713
-1,-0.737429,0.4783422
1,0.2472824,1.2805407
1,0.5173495,1.6775753
-1,-0.7351007,0.4794572
-1,-0.7666193,0.464581
-1,-0.8027116,0.4481122
-1,-0.1275614,0.8802394
-1,-0.603614,0.5468318
1,0.5862621,1.7972579
-1,-0.8532073,0.4260463
-1,-0.6061966,0.5454214
-1,-0.4175064,0.6586873
-1,-0.6393182,0.5276521
1,0.2516961,1.2862051
-1,-0.9569137,0.3840764
1,0.143538,1.1543507
-1,-0.5383765,0.5836951
-1,-0.2982352,0.7421268
-1,-0.2655569,0.7667788
1,0.5053843,1.6576224
1,0.2718231,1.3123548
1,0.5774284,1.7814514
-1,-0.2521432,0.7771334
1,0.3588576,1.4316929
1,0.8374322,2.3104266
1,0.2100611,1.2337534
1,0.334597,1.3973771
1,0.8132201,2.2551581
1,0.7448328,2.1060893
1,0.9330842,2.5423382
-1,-0.7532648,0.4708269
-1,-0.7576332,0.4687746
1,0.8337586,2.3019546
1,0.3793994,1.4614066
1,0.4793411,1.6150099
-1,-0.7838235,0.4566566
1,0.1271392,1.1355751
1,0.6902498,1.9942136
1,0.1840085,1.202026
1,0.3695969,1.4471512
1,0.3392532,1.4038988
-1,-0.5380688,0.5838747
-1,-0.1114553,0.8945314
1,0.6044676,1.8302775
-1,-0.2459166,0.7819874
1,0.6900947,1.9939043
-1,-0.2313362,0.7934727
1,0.4027791,1.4959764
-1,-0.5951331,0.5514892
-1,-0.5399733,0.5827638
-1,-0.4678162,0.6263686
1,0.5601277,1.7508961
1,0.1169723,1.1240883
1,0.2925576,1.3398499
-1,-0.5346082,0.5858988
1,0.7973773,2.2197116
1,0.1694251,1.1846236
1,0.7303746,2.0758581
-1,-0.0673707,0.9348486
-1,-0.3341354,0.7159568
-1,-0.0337678,0.966796
1,0.9497862,2.5851569
1,0.6238203,1.8660433
-1,-0.589024,0.5548686
1,0.830705,2.2949361
-1,-0.0407745,0.9600456
-1,-0.9702489,0.3789887
1,0.9496578,2.584825
1,0.4538382,1.5743432
-1,-0.505434,0.6032437
-1,-0.4031491,0.6682125
1,0.7469336,2.1105184
1,0.2372583,1.2677685
1,0.1073611,1.1133362
-1,-0.5003152,0.6063395
1,0.7246902,2.0640915
1,0.8135821,2.2559747
1,0.5048865,1.6567975
-1,-0.8562415,0.4247555
1,0.4023069,1.4952702
1,0.4771095,1.6114099
-1,-0.4372206,0.6458289
1,0.5165666,1.6762625
-1,-0.5068119,0.6024131
-1,-0.6397455,0.5274266
-1,-0.9446171,0.3888284
-1,-0.9009155,0.4061976
1,0.1923786,1.2121293
1,0.5841623,1.793488
1,0.6690373,1.9523569
-1,-0.3137167,0.730726
1,0.397893,1.4886847
-1,-0.2761526,0.7586971
-1,-0.8156444,0.4423542
-1,-0.1059267,0.8994906
-1,-0.1576233,0.8541715
-1,-0.887573,0.4116536
-1,-0.6100269,0.5433363
-1,-0.49667,0.6085538
-1,-0.5351523,0.5855801
1,0.2642338,1.3024327
1,0.1663857,1.1810285
1,0.8180836,2.2661528
1,0.6912581,1.9962254
1,0.4172471,1.5177775
-1,-0.5408354,0.5822616
1,0.3454482,1.4126229
1,0.9831965,2.6729868
1,0.1958735,1.216373
1,0.0272421,1.0276166
1,0.9597816,2.6111261
-1,-0.3976864,0.6718727
1,0.305344,1.3570918
1,0.8266267,2.2855957
-1,-0.4353993,0.6470063
1,0.5508288,1.7346901
1,0.0009874,1.0009879
1,0.3007296,1.350844
-1,-0.830347,0.435898
-1,-0.8279872,0.4369279
-1,-0.1612201,0.8511047
-1,-0.54919,0.5774173
-1,-0.1884848,0.8282131
-1,-0.9085998,0.4030882
1,0.9376045,2.5538563
1,0.9177535,2.5036596
1,0.7639843,2.1468127
-1,-0.3444118,0.7086371
1,0.5628119,1.7556021
-1,-0.1070341,0.898495
1,0.5475439,1.7290012
-1,-0.7570092,0.4690672
-1,-0.9496745,0.3868669
1,0.8814335,2.4143582
1,0.891766,2.4394339
1,0.061111,1.0630169
1,0.0934781,1.0979866
-1,-0.934632,0.3927304
-1,-0.9968934,0.3690241
1,0.3591264,1.4320778
-1,-0.0399014,0.9608842
1,0.0679864,1.0703508
1,0.5966191,1.8159688
1,0.9522483,2.5915297
-1,-0.5956118,0.5512252
-1,-0.5103744,0.6002708
-1,-0.9668891,0.3802642
-1,-0.3075784,0.7352252
-1,-0.0009469,0.9990535
1,0.7728793,2.1659938
-1,-0.0860157,0.9175798
-1,-0.8932782,0.4093117
1,0.6601539,1.9350901
-1,-0.2538467,0.7758107
1,0.0093743,1.0094184
1,0.990307,2.6920608
-1,-0.7396378,0.4772868
-1,-0.4338247,0.6480258
1,0.4505271,1.5691391
1,0.0087191,1.0087572
-1,-0.1016364,0.903358
-1,-0.378746,0.6847195
-1,-0.9784971,0.3758756
1,0.898967,2.4570637
-1,-0.2931207,0.7459321
-1,-0.7539036,0.4705262
1,0.3499294,1.4189674
1,0.7417022,2.0995063
-1,-0.7646898,0.4654783
-1,-0.1341665,0.8744445
1,0.7908119,2.2051861
-1,-0.6500018,0.5220448
-1,-0.9291303,0.394897
1,0.4108016,1.5080261
1,0.7393355,2.0945432
1,0.0381271,1.0388633
-1,-0.6936998,0.4997238
1,0.2010712,1.2227118
1,0.4067899,1.5019885
-1,-0.3610162,0.6969677
-1,-0.6288494,0.533205
1,0.6203691,1.8596143
-1,-0.6384322,0.5281198
1,0.7825167,2.1869693
-1,-0.7316685,0.4811056
-1,-0.3101232,0.7333566
1,0.8964384,2.4508586
-1,-0.0212481,0.9789761
1,0.5853339,1.7955904
-1,-0.1503513,0.8604057
-1,-0.0823836,0.9209186
-1,-0.4292245,0.6510138
1,0.7234565,2.0615466
-1,-0.5233242,0.5925475
-1,-0.9398899,0.3906708
-1,-0.8757095,0.4165664
1,0.7281548,2.0712552
1,0.829252,2.291604
1,0.851012,2.3420158
-1,-0.0551615,0.9463323
-1,-0.0546813,0.9467868
-1,-0.883052,0.4135189
-1,-0.8869702,0.4119018
-1,-0.4139584,0.6610284
-1,-0.8072968,0.4460622
-1,-0.5062789,0.6027342
-1,-0.9492817,0.3870189
1,0.0025443,1.0025475
1,0.7023331,2.0184565
-1,-0.9217409,0.3978259
-1,-0.2079814,0.8122221
-1,-0.7295318,0.4821347
-1,-0.2166862,0.8051826
1,0.855039,2.3514661
-1,-0.7854805,0.4559006
1,0.867995,2.3821299
1,0.6639934,1.9425342
-1,-0.328114,0.7202809
-1,-0.5444261,0.5801747
1,0.8750089,2.3988966
1,0.3992716,1.4907384
1,0.4960205,1.6421732
1,0.1816679,1.1992159
-1,-0.1720378,0.8419473
-1,-0.1991741,0.8194072
1,0.7715193,2.1630501
1,0.5074577,1.6610629
1,0.0480157,1.0491871
1,0.0388954,1.0396617
1,0.3587149,1.4314886
-1,-0.9588591,0.38333
-1,-0.1844441,0.8315664
-1,-0.214438,0.8069948
1,0.3992806,1.4907519
-1,-0.5694278,0.5658491
-1,-0.6605446,0.5165699
-1,-0.176549,0.8381577
1,0.1993583,1.2206192
-1,-0.0589652,0.9427396
1,0.4015838,1.4941893
1,0.4569401,1.5792343
1,0.1924564,1.2122236
1,0.7730714,2.16641
-1,-0.9837765,0.3738964
-1,-0.1289444,0.8790228
1,0.9749192,2.650953
1,0.2609313,1.2981385
1,0.4064222,1.5014363
1,0.2210036,1.2473279
-1,-0.7092178,0.4920289
-1,-0.5889555,0.5549066
-1,-0.6672453,0.5131201
-1,-0.5563797,0.5732808
1,0.9481165,2.5808441
1,0.7642149,2.1473079
-1,-0.830253,0.435939
1,0.237552,1.2681409
1,0.3557427,1.4272403
1,0.9196174,2.5083305
1,0.8161544,2.2617852
-1,-0.5135792,0.5983501
-1,-0.4482778,0.6387272
1,0.9117514,2.4886774
1,0.3488463,1.4174313
1,0.0373742,1.0380814
1,0.1550762,1.1677469
1,0.9562869,2.602017
-1,-0.9680582,0.3798199
1,0.093102,1.0975737
-1,-0.0063553,0.9936649
-1,-0.7293063,0.4822434
1,0.6243319,1.8669982
-1,-0.9759998,0.3768154
-1,-0.9399855,0.3906335
-1,-0.7481546,0.4732391
1,0.1067576,1.1126645
1,0.7954234,2.2153788
-1,-0.3555889,0.7007606
-1,-0.5780838,0.5609723
-1,-0.9077349,0.403437
-1,-0.1659946,0.8470508
1,0.8351036,2.3050528
1,0.9565246,2.6026355
-1,-0.3872026,0.6789535
1,0.5680069,1.7647462
-1,-0.7253679,0.4841464
-1,-0.3110907,0.7326474
-1,-0.4643467,0.6285456
-1,-0.4298205,0.6506259
1,0.7068656,2.0276259
-1,-0.2186743,0.8035834
1,0.2313323,1.260278
1,0.3882931,1.4744619
-1,-0.6217663,0.5369951
1,0.194652,1.2148881
-1,-0.9016782,0.4058879
1,0.6362899,1.8894578
1,0.4586108,1.5818749
-1,-0.9138058,0.4009952
-1,-0.8508379,0.427057
-1,-0.5399166,0.5827969
-1,-0.3240886,0.7231862
-1,-0.0980843,0.9065725
1,0.2830647,1.327191
1,0.5313952,1.7013043
-1,-0.8545077,0.4254926
-1,-0.4665113,0.6271865
1,0.0600982,1.0619408
-1,-0.1648732,0.8480012
-1,-0.3652732,0.694007
1,0.2484942,1.2820934
1,0.8977778,2.4541434
1,0.9571641,2.6043005
1,0.8245785,2.2809192
-1,-0.8077224,0.4458724
1,0.2246951,1.2519409
1,0.070861,1.073432
1,0.978154,2.6595422
-1,-0.7127294,0.4903041
1,0.8601526,2.3635213
-1,-0.1086171,0.8970738
-1,-0.4139518,0.6610328
-1,-0.4701087,0.6249343
-1,-0.9423886,0.3896959
-1,-0.9845096,0.3736224
1,0.8639259,2.3724565
-1,-0.4096708,0.6638688
-1,-0.712642,0.490347
1,0.4065957,1.5016968
-1,-0.6244846,0.5355374
1,0.7917495,2.2072546
1,0.07619,1.0791676
-1,-0.9136948,0.4010397
1,0.1648453,1.1792107
-1,-0.0544881,0.9469698
-1,-0.251158,0.7778995
1,0.103797,1.1093752
-1,-0.3113766,0.732438
-1,-0.8524317,0.4263768
-1,-0.3796314,0.6841135
-1,-0.2425724,0.7846069
-1,-0.1286318,0.8792977
-1,-0.6641899,0.5146903
-1,-0.4734745,0.6228345
1,0.140815,1.1512117
1,0.3789196,1.4607056
1,0.1797014,1.1968599
-1,-0.0213719,0.9788549
-1,-0.4596094,0.6315303
1,0.733816,2.0830142
1,0.2477623,1.2811554
1,0.439952,1.5526327
1,0.6063625,1.833749
-1,-0.2294817,0.7949455
-1,-0.8591494,0.4235222
1,0.9014194,2.4630968
1,0.4391231,1.5513462
1,0.5877176,1.7998757
1,0.5224209,1.6861046
1,0.1855082,1.2038301
1,0.9733294,2.6467419
-1,-0.6282195,0.5335409
1,0.7224453,2.0594631
1,0.3826794,1.4662079
1,0.2369874,1.2674251
1,0.5784535,1.7832785
1,0.5521588,1.7369988
1,0.5519918,1.7367088
-1,-0.8521828,0.426483
-1,-0.7462572,0.4741378
1,0.7250087,2.0647491
-1,-0.7332966,0.4803229
1,0.5175616,1.6779312
1,0.6018793,1.8255463
1,0.3308734,1.3921835
1,0.6353457,1.8876746
1,0.398236,1.4891954
-1,-0.5584183,0.5721133
-1,-0.6245633,0.5354952
1,0.2406315,1.2720522
1,0.4006432,1.4927845
-1,-0.7017684,0.4957079
1,0.6067002,1.8343684
1,0.3441595,1.4108036
1,0.04762,1.048772
1,0.7955718,2.2157076
1,0.2162045,1.2413562
1,0.3494571,1.4182973
1,0.7746342,2.1697983
1,0.7448558,2.1061377
1,0.0316246,1.03213
-1,-0.6257573,0.5348562
-1,-0.9756238,0.3769571
-1,-0.441317,0.6431888
1,0.7372372,2.0901529
1,0.9029892,2.4669664
1,0.1789458,1.1959559
1,0.3736001,1.452956
-1,-0.4593794,0.6316755
-1,-0.6693929,0.5120193
1,0.1431786,1.1539359
1,0.7112021,2.0364378
1,0.8930356,2.442533
1,0.1566966,1.1696407
1,0.3518124,1.4216418
1,0.108742,1.1148747
1,0.0634853,1.0655438
1,0.27938,1.3223097
1,0.2979536,1.3470993
-1,-0.6905455,0.5013025
1,0.6593265,1.9334897
1,0.5072478,1.6607143
-1,-0.064284,0.9377386
